1,2330
2,6505
3,2317
4,2412
5,1301
6,1326
7,1303
8,3008
9,2882
10,2881
11,2454
12,1216
13,2891
14,2002
15,2308
16,3045
17,2886
18,2912
19,3711
20,2892
21,5880
22,2884
23,4904
24,2382
25,2880
26,2885
27,5876
28,1101
29,2408
30,2633
31,2207
32,2801
33,2474
34,2395
35,1402
36,2357
37,5871
38,2883
39,2327
40,6488
41,2887
42,2303
43,2105
44,4938
45,1102
46,9910
47,2890
48,2823
49,9904
50,5347
51,2888
52,2409
53,2301
54,3034
55,3481
56,1476
57,2379
58,2354
59,2492
60,2356
61,2324
62,2049
63,8464
64,3105
65,2834
66,1590
67,2618
68,4958
69,2227
70,2377
71,3702
72,9921
73,2371
74,2353
75,2347
76,2344
77,3231
78,2345
79,1605
80,1434
81,2603
82,6239
83,2542
84,8299
85,2610
86,2027
87,2360
88,5903
89,6415
90,2385
91,3044
92,9945
93,8436
94,1227
95,9914
96,3532
97,2915
98,4147
99,6409
100,6147
101,1722
102,4966
103,2337
104,6176
105,5483
106,2723
107,6121
108,1802
109,1477
110,2352
111,9917
112,2104
113,1504
114,2809
115,2812
116,6446
117,8415
118,9933
119,8069
120,6456
121,3037
122,2231
123,2615
124,2845
125,5269
126,2923
127,8454
128,2015
129,5820
130,2439
131,2204
132,1229
133,3406
134,1723
135,2059
136,1717
137,2634
138,4174
139,2449
140,5904
141,3682
142,1536
143,2376
144,2383
145,2498
146,5522
147,2201
148,2448
149,2451
150,1314
151,6285
152,1565
153,6269
154,2889
155,9941
156,3443
157,3706
158,3081
159,1707
160,2838
161,4123
162,8341
163,3005
164,1210
165,2458
166,2313
167,2867
168,2106
169,5530
170,4915
171,2606
172,1795
173,5534
174,6274
175,2849
176,1507
177,8046
178,2441
179,2501
180,5274
181,3533
182,3665
183,2101
184,2103
185,1710
186,2903
187,6116
188,9940
189,6414
190,1319
191,1904
192,3036
193,4137
194,3576
195,1312
196,2373
197,3019
198,1503
199,6005
200,2456
201,2609
202,1789
203,3673
204,1409
205,9907
206,8406
207,3529
208,6670
209,2534
210,3563
211,6213
212,2006
213,1909
214,3023
215,4105
216,1440
217,5264
218,6182
219,1907
220,5371
221,2362
222,2404
223,9938
224,2820
225,2548
226,8150
227,3026
228,3189
229,2897
230,8422
231,2023
232,1808
233,6412
234,2855
235,2637
236,6541
237,3152
238,3376
239,3596
240,2608
241,2511
242,6214
243,6271
244,2707
245,2206
246,2014
247,2312
248,1313
249,8044
250,3630
251,6202
252,6452
253,2355
254,5388
255,1232
256,1702
257,1515
258,3016
259,2108
260,2035
261,6146
262,5007
263,2239
264,4162
265,2905
266,1225
267,8926
268,1718
269,4766
270,8131
271,6462
272,9908
273,8482
274,6278
275,2351
276,9939
277,2392
278,3264
279,9925
280,1304
281,1532
282,9958
283,2607
284,1215
285,4736
286,2349
287,5306
288,8016
289,6464
290,2393
291,2388
292,5434
293,3293
294,6120
295,6510
296,8163
297,1773
298,4532
299,9930
300,4943
