102/09/02,35.80
102/09/03,35.60
102/09/04,36.10
102/09/05,37.00
102/09/06,39.00
102/09/09,38.00
102/09/10,37.85
102/09/11,38.30
102/09/12,38.70
102/09/13,38.70
102/09/14,38.20
102/09/16,38.40
102/09/17,38.65
102/09/18,39.40
102/09/23,40.20
102/09/24,39.75
102/09/25,40.70
102/09/26,39.10
102/09/27,39.15
102/09/30,39.50
102/10/01,40.00
102/10/02,40.40
102/10/03,40.50
102/10/04,41.00
102/10/07,40.60
102/10/08,40.80
102/10/09,38.80
102/10/11,39.10
102/10/14,39.40
102/10/15,41.60
102/10/16,41.45
102/10/17,41.60
102/10/18,41.10
102/10/21,40.55
102/10/22,41.00
102/10/23,39.90
102/10/24,40.70
102/10/25,40.30
102/10/28,40.20
102/10/29,40.25
102/10/30,41.50
102/10/31,40.80
102/11/01,41.10
102/11/04,42.20
102/11/05,41.60
102/11/06,42.60
102/11/07,42.00
102/11/08,42.25
102/11/11,43.65
102/11/12,42.90
102/11/13,42.05
102/11/14,42.10
102/11/15,43.25
102/11/18,42.00
102/11/19,42.95
102/11/20,43.20
102/11/21,42.25
102/11/22,42.55
102/11/25,43.15
102/11/26,42.75
102/11/27,43.70
102/11/28,43.50
102/11/29,43.40
102/12/02,44.20
102/12/03,46.65
102/12/04,46.45
102/12/05,45.55
102/12/06,45.25
102/12/09,44.70
102/12/10,45.50
102/12/11,44.30
102/12/12,44.85
102/12/13,45.10
102/12/16,45.60
102/12/17,45.75
102/12/18,45.75
102/12/19,45.65
102/12/20,45.35
102/12/23,46.00
102/12/24,45.90
102/12/25,45.65
102/12/26,48.00
102/12/27,47.60
102/12/30,50.00
102/12/31,50.70
103/01/02,52.40
103/01/03,56.00
103/01/06,58.60
103/01/07,58.60
103/01/08,61.60
103/01/09,59.50
103/01/10,60.00
103/01/13,57.90
103/01/14,56.50
103/01/15,56.70
103/01/16,57.40
103/01/17,58.60
103/01/20,59.10
103/01/21,59.00
103/01/22,59.10
103/01/23,59.30
103/01/24,58.30
103/01/27,55.50
103/02/05,57.30
103/02/06,58.20
103/02/07,57.30
103/02/10,54.50
103/02/11,53.90
103/02/12,55.40
103/02/13,53.40
103/02/14,53.80
103/02/17,50.10
103/02/18,52.20
103/02/19,51.30
103/02/20,52.50
103/02/21,56.10
103/02/24,57.60
103/02/25,57.20
103/02/26,56.60
103/02/27,56.70
103/03/03,56.00
103/03/04,56.40
103/03/05,57.30
103/03/06,59.00
103/03/07,58.50
103/03/10,58.10
103/03/11,57.70
103/03/12,58.80
103/03/13,58.40
103/03/14,57.80
103/03/17,57.60
103/03/18,58.00
103/03/19,56.10
103/03/20,55.10
103/03/21,54.50
103/03/24,55.40
103/03/25,56.20
103/03/26,55.30
103/03/27,54.20
103/03/28,53.00
103/03/31,53.30
103/04/01,54.20
103/04/02,54.00
103/04/03,53.60
103/04/07,53.70
103/04/08,53.70
103/04/09,53.60
103/04/10,52.40
103/04/11,50.70
103/04/14,50.50
103/04/15,50.20
103/04/16,48.95
103/04/17,49.40
103/04/18,52.00
103/04/21,51.60
103/04/22,51.60
103/04/23,51.60
103/04/24,50.70
103/04/25,49.20
103/04/28,50.10
103/04/29,51.10
103/04/30,50.50
103/05/02,51.20
103/05/05,52.20
103/05/06,51.50
103/05/07,50.40
103/05/08,50.50
103/05/09,49.20
103/05/12,50.30
103/05/13,49.60
103/05/14,52.40
103/05/15,51.80
103/05/16,53.20
103/05/19,55.80
103/05/20,55.40
103/05/21,56.30
103/05/22,56.20
103/05/23,56.40
103/05/26,55.50
103/05/27,55.90
103/05/28,56.50
103/05/29,56.50
103/05/30,57.00
103/06/03,55.40
103/06/04,55.90
103/06/05,55.40
103/06/06,54.80
103/06/09,58.30
103/06/10,57.00
103/06/11,58.60
103/06/12,61.00
103/06/13,60.60
103/06/16,60.10
103/06/17,60.20
103/06/18,58.80
103/06/19,59.70
103/06/20,61.10
103/06/23,56.90
103/06/24,56.80
103/06/25,55.60
103/06/26,53.80
103/06/27,54.30
103/06/30,54.10
103/07/01,55.90
103/07/02,55.50
103/07/03,56.00
103/07/04,56.40
103/07/07,55.90
103/07/08,55.50
103/07/09,55.60
103/07/10,54.90
103/07/11,52.00
103/07/14,52.30
103/07/15,53.80
103/07/16,53.50
103/07/17,53.10
103/07/18,53.00
103/07/21,52.50
103/07/22,53.80
103/07/24,56.20
103/07/25,55.60
103/07/28,51.80
103/07/29,51.70
103/07/30,51.90
103/07/31,52.10
103/08/01,50.60
103/08/04,51.10
103/08/05,50.60
103/08/06,48.50
103/08/07,48.00
103/08/08,49.20
103/08/11,50.50
103/08/12,52.10
103/08/13,49.85
103/08/14,49.50
103/08/15,48.65
103/08/18,45.25
103/08/19,46.20
103/08/20,45.60
103/08/21,45.10
103/08/22,46.80
103/08/25,47.80
103/08/26,47.45
103/08/27,47.80
103/08/28,47.70
103/08/29,48.50
103/09/01,48.50
103/09/02,48.60
103/09/03,47.50
103/09/04,47.95
103/09/05,47.65
103/09/09,47.05
103/09/10,46.55
103/09/11,46.60
103/09/12,45.45
103/09/15,45.40
103/09/16,42.70
103/09/17,42.70
103/09/18,45.65
103/09/19,44.75
103/09/22,44.65
103/09/23,45.00
103/09/24,45.30
103/09/25,45.10
103/09/26,45.10
103/09/29,46.20
103/09/30,45.50
103/10/01,45.20
103/10/02,45.80
103/10/03,46.60
103/10/06,47.85
103/10/07,47.75
103/10/08,46.35
