102/09/02,68.40
102/09/03,67.60
102/09/04,67.20
102/09/05,67.00
102/09/06,66.00
102/09/09,63.80
102/09/10,66.40
102/09/11,65.80
102/09/12,66.70
102/09/13,66.10
102/09/14,66.10
102/09/16,67.50
102/09/17,67.60
102/09/18,66.60
102/09/23,66.40
102/09/24,66.20
102/09/25,67.30
102/09/26,64.60
102/09/27,65.40
102/09/30,66.60
102/10/01,66.20
102/10/02,67.00
102/10/03,68.00
102/10/04,67.00
102/10/07,66.50
102/10/08,67.50
102/10/09,66.60
102/10/11,65.90
102/10/14,64.30
102/10/15,65.30
102/10/16,69.30
102/10/17,67.90
102/10/18,71.70
102/10/21,71.50
102/10/22,68.20
102/10/23,65.70
102/10/24,65.30
102/10/25,64.20
102/10/28,64.80
102/10/29,64.00
102/10/30,63.20
102/10/31,62.60
102/11/01,60.50
102/11/04,58.40
102/11/05,59.30
102/11/06,60.00
102/11/07,59.40
102/11/08,59.60
102/11/11,60.00
102/11/12,59.60
102/11/13,58.40
102/11/14,58.80
102/11/15,59.50
102/11/18,58.60
102/11/19,58.10
102/11/20,58.80
102/11/21,57.30
102/11/22,57.00
102/11/25,57.50
102/11/26,59.20
102/11/27,59.50
102/11/28,60.10
102/11/29,60.00
102/12/02,60.50
102/12/03,60.20
102/12/04,62.30
102/12/05,62.00
102/12/06,61.70
102/12/09,61.20
102/12/10,61.00
102/12/11,60.00
102/12/12,60.00
102/12/13,59.50
102/12/16,60.40
102/12/17,60.00
102/12/18,60.50
102/12/19,59.70
102/12/20,59.70
102/12/23,60.20
102/12/24,60.90
102/12/25,60.00
102/12/26,60.50
102/12/27,61.10
102/12/30,62.60
102/12/31,62.50
103/01/02,61.90
103/01/03,62.00
103/01/06,63.00
103/01/07,64.10
103/01/08,62.90
103/01/09,61.80
103/01/10,62.40
103/01/13,61.50
103/01/14,62.30
103/01/15,63.40
103/01/16,62.60
103/01/17,62.00
103/01/20,62.70
103/01/21,62.60
103/01/22,62.20
103/01/23,62.90
103/01/24,66.10
103/01/27,65.00
103/02/05,66.40
103/02/06,68.80
103/02/07,67.80
103/02/10,67.50
103/02/11,68.10
103/02/12,68.10
103/02/13,70.00
103/02/14,68.70
103/02/17,68.40
103/02/18,70.10
103/02/19,72.50
103/02/20,73.50
103/02/21,72.60
103/02/24,71.80
103/02/25,71.30
103/02/26,71.70
103/02/27,72.60
103/03/03,71.10
103/03/04,71.60
103/03/05,72.00
103/03/06,72.50
103/03/07,70.00
103/03/10,71.40
103/03/11,71.70
103/03/12,73.10
103/03/13,72.00
103/03/14,72.00
103/03/17,71.60
103/03/18,71.60
103/03/19,71.90
103/03/20,70.60
103/03/21,70.00
103/03/24,69.50
103/03/25,71.10
103/03/26,73.00
103/03/27,73.30
103/03/28,72.20
103/03/31,72.60
103/04/01,72.00
103/04/02,73.50
103/04/03,73.40
103/04/07,70.70
103/04/08,72.00
103/04/09,74.20
103/04/10,73.20
103/04/11,73.00
103/04/14,73.00
103/04/15,73.30
103/04/16,72.60
103/04/17,72.00
103/04/18,73.20
103/04/21,73.80
103/04/22,74.50
103/04/23,79.70
103/04/24,82.00
103/04/25,77.90
103/04/28,76.70
103/04/29,80.70
103/04/30,77.70
103/05/02,79.10
103/05/05,77.60
103/05/06,76.60
103/05/07,76.70
103/05/08,76.90
103/05/09,75.70
103/05/12,76.70
103/05/13,74.50
103/05/14,73.40
103/05/15,78.50
103/05/16,75.40
103/05/19,75.60
103/05/20,76.40
103/05/21,75.20
103/05/22,77.00
103/05/23,77.60
103/05/26,78.00
103/05/27,78.00
103/05/28,77.00
103/05/29,76.30
103/05/30,74.90
103/06/03,78.60
103/06/04,83.00
103/06/05,81.50
103/06/06,81.10
103/06/09,80.10
103/06/10,79.10
103/06/11,77.90
103/06/12,78.50
103/06/13,83.90
103/06/16,88.00
103/06/17,86.30
103/06/18,87.00
