102/09/02,19.70
102/09/03,20.70
102/09/04,20.20
102/09/05,20.30
102/09/06,20.10
102/09/09,19.95
102/09/10,20.35
102/09/11,20.20
102/09/12,20.35
102/09/13,20.15
102/09/14,20.05
102/09/16,20.10
102/09/17,20.10
102/09/18,20.20
102/09/23,20.25
102/09/24,21.60
102/09/25,21.25
102/09/26,20.50
102/09/27,20.35
102/09/30,20.55
102/10/01,20.30
102/10/02,20.25
102/10/03,20.40
102/10/04,20.15
102/10/07,19.80
102/10/08,19.95
102/10/09,19.85
102/10/11,19.50
102/10/14,19.00
102/10/15,19.20
102/10/16,19.10
102/10/17,19.00
102/10/18,19.50
102/10/21,19.40
102/10/22,19.45
102/10/23,19.30
102/10/24,19.45
102/10/25,19.20
102/10/28,19.15
102/10/29,19.25
102/10/30,19.35
102/10/31,19.20
102/11/01,18.95
102/11/04,18.35
102/11/05,18.15
102/11/06,16.90
102/11/07,16.90
102/11/08,16.50
102/11/11,15.70
102/11/12,16.05
102/11/13,16.05
102/11/14,15.95
102/11/15,15.75
102/11/18,15.05
102/11/19,14.90
102/11/20,15.35
102/11/21,15.60
102/11/22,16.40
102/11/25,16.15
102/11/26,16.25
102/11/27,16.05
102/11/28,15.95
102/11/29,16.05
102/12/02,16.20
102/12/03,16.95
102/12/04,16.60
102/12/05,16.40
102/12/06,16.40
102/12/09,16.60
102/12/10,16.60
102/12/11,16.30
102/12/12,16.40
102/12/13,16.75
102/12/16,16.50
102/12/17,16.70
102/12/18,17.05
102/12/19,17.10
102/12/20,17.10
102/12/23,17.00
102/12/24,18.05
102/12/25,17.85
102/12/26,18.60
102/12/27,18.55
102/12/30,18.30
102/12/31,18.30
103/01/02,18.05
103/01/03,17.80
103/01/06,18.00
103/01/07,18.55
103/01/08,18.50
103/01/09,18.55
103/01/10,18.60
103/01/13,18.45
103/01/14,18.40
103/01/15,19.10
103/01/16,19.15
103/01/17,19.00
103/01/20,18.25
103/01/21,18.25
103/01/22,18.30
103/01/23,18.05
103/01/24,18.10
103/01/27,17.95
103/02/05,17.30
103/02/06,17.90
103/02/07,17.85
103/02/10,18.30
103/02/11,18.10
103/02/12,18.30
103/02/13,18.10
103/02/14,18.00
103/02/17,17.90
103/02/18,18.15
103/02/19,18.05
103/02/20,18.20
103/02/21,18.40
103/02/24,18.15
103/02/25,18.05
103/02/26,18.05
103/02/27,18.05
103/03/03,17.95
103/03/04,17.85
103/03/05,18.00
103/03/06,18.00
103/03/07,18.00
103/03/10,17.90
103/03/11,17.90
103/03/12,18.00
103/03/13,18.25
103/03/14,18.10
103/03/17,18.35
103/03/18,18.20
103/03/19,17.85
103/03/20,17.65
103/03/21,17.80
103/03/24,17.65
103/03/25,17.85
103/03/26,17.80
103/03/27,17.80
103/03/28,17.85
103/03/31,17.95
103/04/01,17.75
103/04/02,18.30
103/04/03,18.30
103/04/07,18.55
103/04/08,18.60
103/04/09,18.85
103/04/10,19.20
103/04/11,18.90
103/04/14,18.70
103/04/15,19.30
