102/09/02,109.00
102/09/03,110.00
102/09/04,113.00
102/09/05,114.00
102/09/06,110.00
102/09/09,105.00
102/09/10,104.00
102/09/11,104.00
102/09/12,104.00
102/09/13,103.50
102/09/14,101.50
102/09/16,95.50
102/09/17,91.50
102/09/18,97.20
102/09/23,99.50
102/09/24,100.00
102/09/25,102.50
102/09/26,105.00
102/09/27,107.50
102/09/30,111.50
102/10/01,111.00
102/10/02,110.50
102/10/03,108.50
102/10/04,112.00
102/10/07,105.50
102/10/08,104.00
102/10/09,103.00
102/10/11,106.00
102/10/14,105.00
102/10/15,106.50
102/10/16,104.50
102/10/17,102.00
102/10/18,105.00
102/10/21,110.00
102/10/22,108.50
102/10/23,109.50
102/10/24,108.50
102/10/25,106.50
102/10/28,104.00
102/10/29,105.00
102/10/30,104.50
102/10/31,97.20
102/11/01,94.80
102/11/04,91.30
102/11/05,91.00
102/11/06,84.70
102/11/07,78.80
102/11/08,73.30
102/11/11,71.80
102/11/12,66.80
102/11/13,62.20
102/11/14,66.50
102/11/15,62.50
102/11/18,58.20
102/11/19,60.20
102/11/20,62.90
102/11/21,62.00
102/11/22,61.10
102/11/25,59.30
102/11/26,60.80
102/11/27,62.00
102/11/28,66.30
102/11/29,66.20
102/12/02,66.00
102/12/03,66.90
102/12/04,66.30
102/12/05,65.60
102/12/06,66.60
102/12/09,62.00
102/12/10,60.90
102/12/11,59.80
102/12/12,59.10
102/12/13,59.60
102/12/16,60.70
102/12/17,61.00
102/12/18,60.60
102/12/19,60.80
102/12/20,61.00
102/12/23,59.40
102/12/24,59.20
102/12/25,59.20
102/12/26,59.80
102/12/27,60.90
102/12/30,65.10
102/12/31,64.20
103/01/02,65.80
103/01/03,65.50
103/01/06,64.50
103/01/07,66.80
103/01/08,65.30
103/01/09,63.90
103/01/10,63.50
103/01/13,62.60
103/01/14,65.90
103/01/15,66.60
103/01/16,65.30
103/01/17,66.40
103/01/20,69.30
103/01/21,68.00
103/01/22,68.50
103/01/23,66.80
103/01/24,66.40
103/01/27,65.80
103/02/05,64.30
103/02/06,66.70
103/02/07,69.80
103/02/10,68.20
103/02/11,67.80
103/02/12,67.80
103/02/13,66.80
103/02/14,66.30
103/02/17,65.20
103/02/18,65.20
103/02/19,66.20
103/02/20,65.30
103/02/21,65.60
103/02/24,64.80
103/02/25,64.50
103/02/26,65.20
103/02/27,64.50
103/03/03,61.60
103/03/04,61.80
103/03/05,63.00
103/03/06,62.20
103/03/07,61.60
103/03/10,61.10
103/03/11,61.50
103/03/12,61.70
103/03/13,66.00
103/03/14,67.40
103/03/17,66.70
103/03/18,68.00
103/03/19,70.40
103/03/20,67.90
103/03/21,68.30
103/03/24,68.40
103/03/25,68.00
103/03/26,70.80
103/03/27,75.70
103/03/28,75.10
103/03/31,76.00
103/04/01,75.20
103/04/02,76.50
103/04/03,80.50
103/04/07,78.80
103/04/08,74.60
103/04/09,75.50
103/04/10,74.20
103/04/11,74.50
103/04/14,73.00
103/04/15,74.00
103/04/16,74.80
103/04/17,74.20
103/04/18,71.50
103/04/21,71.60
103/04/22,72.80
103/04/23,71.50
103/04/24,69.50
103/04/25,65.10
103/04/28,63.90
103/04/29,66.10
103/04/30,66.70
103/05/02,66.10
103/05/05,65.10
103/05/06,65.60
103/05/07,65.40
103/05/08,64.50
103/05/09,64.10
103/05/12,62.60
103/05/13,61.00
103/05/14,61.70
103/05/15,62.20
103/05/16,61.30
103/05/19,61.40
103/05/20,63.40
103/05/21,62.20
103/05/22,62.20
103/05/23,62.00
103/05/26,62.40
103/05/27,61.50
103/05/28,61.00
103/05/29,61.10
103/05/30,60.30
103/06/03,59.10
103/06/04,60.80
103/06/05,60.50
103/06/06,59.00
103/06/09,58.60
103/06/10,59.40
103/06/11,61.70
103/06/12,62.00
103/06/13,61.60
103/06/16,63.00
103/06/17,62.30
103/06/18,61.40
103/06/19,60.60
103/06/20,59.50
103/06/23,56.70
103/06/24,55.20
103/06/25,54.60
103/06/26,54.40
103/06/27,55.10
103/06/30,54.60
103/07/01,54.80
103/07/02,54.30
103/07/03,53.80
103/07/04,50.40
103/07/07,47.65
103/07/08,49.00
103/07/09,48.50
103/07/10,48.80
103/07/11,46.00
103/07/14,44.95
103/07/15,48.05
103/07/16,50.70
103/07/17,48.90
103/07/18,49.20
103/07/21,48.50
103/07/22,48.20
103/07/24,48.65
103/07/25,48.10
103/07/28,47.50
103/07/29,46.00
103/07/30,46.20
103/07/31,46.75
103/08/01,46.35
103/08/04,46.25
103/08/05,44.95
103/08/06,43.35
103/08/07,40.60
103/08/08,39.60
103/08/11,40.60
103/08/12,39.00
103/08/13,40.30
103/08/14,39.65
103/08/15,40.30
103/08/18,38.10
103/08/19,38.80
103/08/20,39.00
103/08/21,38.65
103/08/22,39.85
103/08/25,40.25
103/08/26,41.85
103/08/27,42.00
103/08/28,41.00
103/08/29,41.40
103/09/01,41.00
103/09/02,40.40
103/09/03,39.60
103/09/04,39.90
103/09/05,42.65
103/09/09,44.35
103/09/10,44.00
103/09/11,45.25
103/09/12,45.50
103/09/15,44.85
103/09/16,42.10
103/09/17,42.35
103/09/18,42.80
103/09/19,43.50
103/09/22,43.15
103/09/23,46.15
103/09/24,47.40
103/09/25,45.40
103/09/26,44.70
103/09/29,47.30
103/09/30,46.90
103/10/01,47.25
103/10/02,47.60
103/10/03,47.50
103/10/06,46.15
103/10/07,45.90
103/10/08,45.20
103/10/09,42.05
103/10/13,39.15
103/10/14,39.70
103/10/15,36.95
103/10/16,36.95
103/10/17,35.40
103/10/20,36.20
103/10/21,35.65
103/10/22,36.20
103/10/23,35.85
103/10/24,35.80
103/10/27,33.30
103/10/28,33.50
103/10/29,35.80
103/10/30,35.40
103/10/31,35.50
103/11/03,36.60
103/11/04,35.85
