102/09/02,27.15
102/09/03,27.30
102/09/04,27.40
102/09/05,27.85
102/09/06,28.70
102/09/09,28.95
102/09/10,28.45
102/09/11,28.20
102/09/12,28.30
102/09/13,28.05
102/09/14,28.05
102/09/16,28.15
102/09/17,28.35
102/09/18,28.05
102/09/23,28.25
102/09/24,28.25
102/09/25,28.40
102/09/26,28.20
102/09/27,28.35
102/09/30,28.75
102/10/01,28.85
102/10/02,29.10
102/10/03,29.30
102/10/04,29.30
102/10/07,29.50
102/10/08,29.90
102/10/09,29.90
102/10/11,30.20
102/10/14,29.95
102/10/15,29.95
102/10/16,30.60
102/10/17,30.80
102/10/18,30.80
102/10/21,30.85
102/10/22,31.20
102/10/23,31.90
102/10/24,32.00
102/10/25,31.95
102/10/28,31.90
102/10/29,31.30
102/10/30,31.90
102/10/31,32.80
102/11/01,32.55
102/11/04,32.20
102/11/05,32.00
102/11/06,32.20
102/11/07,32.35
102/11/08,32.00
102/11/11,30.75
102/11/12,31.95
102/11/13,31.70
102/11/14,32.00
102/11/15,33.15
102/11/18,33.45
102/11/19,33.95
102/11/20,34.70
102/11/21,34.65
102/11/22,34.35
102/11/25,34.65
102/11/26,34.45
102/11/27,35.05
102/11/28,36.25
102/11/29,36.95
102/12/02,38.20
102/12/03,38.20
102/12/04,37.40
102/12/05,37.30
102/12/06,37.30
102/12/09,38.95
102/12/10,39.00
102/12/11,38.70
102/12/12,38.20
102/12/13,38.75
102/12/16,38.00
102/12/17,37.85
102/12/18,38.00
102/12/19,38.15
102/12/20,37.10
102/12/23,35.95
102/12/24,36.30
102/12/25,35.90
102/12/26,35.85
102/12/27,36.25
102/12/30,36.50
102/12/31,36.00
103/01/02,36.40
103/01/03,37.35
103/01/06,37.75
103/01/07,37.95
103/01/08,37.65
103/01/09,37.50
103/01/10,37.35
103/01/13,37.80
103/01/14,38.45
103/01/15,38.85
103/01/16,38.70
103/01/17,38.40
103/01/20,38.55
103/01/21,40.00
103/01/22,39.40
103/01/23,39.00
103/01/24,39.55
103/01/27,39.80
103/02/05,39.90
103/02/06,39.90
103/02/07,39.55
103/02/10,39.20
103/02/11,41.85
103/02/12,42.90
103/02/13,42.00
103/02/14,41.50
103/02/17,42.65
103/02/18,41.90
103/02/19,42.50
103/02/20,42.30
103/02/21,42.10
103/02/24,42.40
103/02/25,44.85
103/02/26,44.80
103/02/27,45.00
103/03/03,44.70
103/03/04,44.00
103/03/05,44.65
103/03/06,44.15
103/03/07,43.95
103/03/10,44.00
103/03/11,43.25
103/03/12,42.80
103/03/13,42.60
103/03/14,42.45
103/03/17,42.55
103/03/18,42.00
103/03/19,43.10
103/03/20,42.40
103/03/21,42.90
103/03/24,42.70
103/03/25,42.65
103/03/26,42.65
103/03/27,43.05
103/03/28,42.70
103/03/31,44.90
103/04/01,44.10
103/04/02,44.90
103/04/03,45.00
103/04/07,45.00
103/04/08,45.40
103/04/09,46.35
103/04/10,46.55
103/04/11,46.80
103/04/14,48.50
103/04/15,49.50
103/04/16,50.20
103/04/17,49.85
103/04/18,49.50
103/04/21,49.05
103/04/22,51.40
103/04/23,50.60
103/04/24,49.25
103/04/25,46.65
103/04/28,48.95
103/04/29,49.20
103/04/30,47.10
103/05/02,47.50
103/05/05,47.40
103/05/06,48.50
103/05/07,49.50
103/05/08,49.50
103/05/09,49.10
103/05/12,49.35
103/05/13,49.00
103/05/14,48.00
103/05/15,49.00
103/05/16,48.15
103/05/19,48.80
103/05/20,49.40
103/05/21,49.40
103/05/22,49.70
103/05/23,49.70
103/05/26,49.60
103/05/27,51.00
103/05/28,50.90
103/05/29,51.50
103/05/30,51.60
103/06/03,49.20
103/06/04,49.65
103/06/05,49.40
103/06/06,49.05
103/06/09,49.00
103/06/10,48.25
103/06/11,48.05
103/06/12,48.60
103/06/13,48.30
103/06/16,48.40
103/06/17,48.00
103/06/18,48.15
103/06/19,48.35
103/06/20,47.70
103/06/23,46.40
103/06/24,46.10
103/06/25,45.90
103/06/26,46.75
103/06/27,47.20
103/06/30,47.85
103/07/01,48.60
103/07/02,47.60
103/07/03,47.70
103/07/04,47.35
103/07/07,47.20
103/07/08,47.25
103/07/09,48.00
103/07/10,47.70
103/07/11,47.00
103/07/14,44.50
103/07/15,45.10
103/07/16,44.40
103/07/17,44.20
103/07/18,44.65
103/07/21,44.60
103/07/22,44.35
103/07/24,44.40
103/07/25,43.75
103/07/28,43.20
103/07/29,41.35
103/07/30,41.45
103/07/31,41.50
103/08/01,40.95
103/08/04,42.00
103/08/05,41.10
103/08/06,39.50
103/08/07,39.20
103/08/08,38.90
103/08/11,40.00
103/08/12,39.40
103/08/13,39.90
103/08/14,39.10
103/08/15,38.75
103/08/18,37.75
103/08/19,38.15
103/08/20,38.00
103/08/21,37.10
103/08/22,39.10
103/08/25,40.00
103/08/26,40.50
103/08/27,40.30
103/08/28,39.60
103/08/29,39.90
103/09/01,40.00
103/09/02,39.50
103/09/03,39.05
103/09/04,37.60
103/09/05,37.00
103/09/09,37.05
103/09/10,36.80
103/09/11,36.20
103/09/12,35.20
103/09/15,34.80
103/09/16,35.15
103/09/17,34.50
103/09/18,35.45
103/09/19,37.30
103/09/22,37.00
103/09/23,35.85
103/09/24,35.55
103/09/25,35.45
103/09/26,35.00
103/09/29,34.75
103/09/30,34.05
103/10/01,34.25
103/10/02,34.70
103/10/03,35.05
103/10/06,34.60
103/10/07,34.00
103/10/08,33.80
103/10/09,33.40
103/10/13,31.10
103/10/14,31.65
103/10/15,31.75
103/10/16,32.45
103/10/17,33.20
103/10/20,34.55
103/10/21,33.90
103/10/22,33.95
103/10/23,33.65
103/10/24,33.80
103/10/27,32.40
103/10/28,33.25
103/10/29,34.35
103/10/30,34.55
103/10/31,34.90
103/11/03,35.80
103/11/04,36.55
103/11/05,35.90
103/11/06,35.00
103/11/07,35.50
103/11/10,35.95
103/11/11,35.40
103/11/12,34.95
103/11/13,34.70
103/11/14,34.70
103/11/17,35.10
103/11/18,34.00
103/11/19,33.80
103/11/20,34.65
103/11/21,35.10
103/11/24,35.45
103/11/25,35.50
103/11/26,35.80
103/11/27,35.55
103/11/28,35.40
103/12/01,35.15
103/12/02,35.10
103/12/03,35.65
103/12/04,36.70
103/12/05,36.50
103/12/08,36.30
103/12/09,36.40
103/12/10,36.10
103/12/11,36.15
103/12/12,36.65
103/12/15,36.30
103/12/16,36.20
103/12/17,35.45
103/12/18,35.10
103/12/19,35.40
103/12/22,36.00
103/12/23,36.35
103/12/24,36.50
103/12/25,36.45
103/12/26,36.50
103/12/27,36.50
103/12/29,36.80
103/12/30,37.05
103/12/31,37.00
104/01/05,37.45
104/01/06,37.60
104/01/07,37.60
104/01/08,38.20
104/01/09,37.35
104/01/12,37.50
104/01/13,37.85
104/01/14,37.25
104/01/15,37.45
104/01/16,37.20
104/01/19,37.20
104/01/20,37.40
104/01/21,38.15
104/01/22,39.50
104/01/23,39.15
104/01/26,39.10
104/01/27,39.00
104/01/28,39.40
104/01/29,38.85
104/01/30,39.10
104/02/02,38.60
104/02/03,39.10
104/02/04,39.20
104/02/05,39.05
104/02/06,38.90
104/02/09,39.30
104/02/10,38.95
104/02/11,38.80
104/02/12,38.90
104/02/13,39.50
104/02/24,39.75
104/02/25,39.80
104/02/26,40.00
104/03/02,39.90
104/03/03,39.70
104/03/04,39.30
104/03/05,39.30
104/03/06,39.25
104/03/09,39.60
104/03/10,38.50
104/03/11,38.15
104/03/12,38.15
104/03/13,38.50
104/03/16,38.50
104/03/17,38.65
104/03/18,38.65
104/03/19,38.95
104/03/20,38.40
104/03/23,38.60
104/03/24,38.65
104/03/25,38.55
104/03/26,39.00
104/03/27,39.10
104/03/30,39.40
104/03/31,38.80
104/04/01,38.20
104/04/02,38.70
104/04/07,38.40
104/04/08,37.90
104/04/09,37.50
104/04/10,37.10
104/04/13,37.60
104/04/14,38.70
104/04/15,38.40
104/04/16,38.65
104/04/17,38.70
104/04/20,38.45
104/04/21,37.55
104/04/22,37.45
104/04/23,37.50
104/04/24,38.20
104/04/27,38.20
104/04/28,38.45
104/04/29,37.55
104/04/30,37.30
104/05/04,37.50
104/05/05,37.50
104/05/06,37.45
104/05/07,37.00
104/05/08,37.25
104/05/11,36.65
104/05/12,35.50
104/05/13,35.80
104/05/14,35.15
104/05/15,35.70
104/05/18,35.15
104/05/19,35.80
104/05/20,35.30
104/05/21,34.90
104/05/22,35.00
104/05/25,35.05
104/05/26,34.95
104/05/27,34.30
104/05/28,34.10
104/05/29,34.40
104/06/01,34.40
104/06/02,34.15
104/06/03,34.05
104/06/04,33.35
104/06/05,32.50
104/06/08,32.40
104/06/09,31.40
104/06/10,31.10
104/06/11,31.20
104/06/12,31.05
104/06/15,31.30
104/06/16,31.35
104/06/17,31.35
104/06/18,32.75
104/06/22,32.50
104/06/23,32.85
104/06/24,32.45
104/06/25,31.95
104/06/26,31.70
104/06/29,31.20
104/06/30,31.30
104/07/01,31.70
104/07/02,32.15
104/07/03,31.85
104/07/06,31.75
104/07/07,31.85
104/07/08,30.80
104/07/09,30.90
104/07/13,30.60
104/07/14,30.20
104/07/15,30.00
104/07/16,29.60
104/07/17,29.60
104/07/20,27.05
104/07/21,26.45
104/07/22,25.40
104/07/23,25.45
104/07/24,25.00
104/07/27,24.70
104/07/28,24.80
104/07/29,25.10
104/07/30,24.95
104/07/31,25.10
104/08/03,25.50
104/08/04,24.80
104/08/05,24.35
104/08/06,24.80
104/08/07,25.10
104/08/10,26.90
104/08/11,27.30
104/08/12,27.30
104/08/13,27.30
104/08/14,27.15
104/08/17,26.80
104/08/18,26.60
104/08/19,25.70
104/08/20,26.40
104/08/21,26.15
104/08/24,24.75
104/08/25,25.00
104/08/26,27.00
104/08/27,26.85
104/08/28,27.90
104/08/31,27.55
104/09/01,27.55
104/09/02,27.90
104/09/03,27.90
104/09/04,27.45
104/09/07,28.30
104/09/08,29.05
104/09/09,29.80
104/09/10,29.80
104/09/11,29.80
104/09/14,29.60
104/09/15,29.50
104/09/16,29.95
104/09/17,31.00
104/09/18,31.40
104/09/21,30.85
104/09/22,31.00
104/09/23,30.25
104/09/24,31.20
104/09/25,30.65
104/09/30,31.20
104/10/01,32.00
104/10/02,31.85
104/10/05,32.00
104/10/06,32.20
104/10/07,31.95
104/10/08,31.90
104/10/12,32.65
104/10/13,32.85
104/10/14,33.00
104/10/15,33.00
104/10/16,32.25
104/10/19,32.00
104/10/20,33.40
104/10/21,33.10
104/10/22,33.25
104/10/23,33.35
104/10/26,33.40
104/10/27,34.00
104/10/28,34.45
104/10/29,33.80
104/10/30,34.00
104/11/02,34.30
104/11/03,34.50
104/11/04,34.65
104/11/05,34.25
104/11/06,33.40
104/11/09,32.05
104/11/10,32.75
104/11/11,31.90
104/11/12,31.40
104/11/13,32.30
104/11/16,33.00
104/11/17,34.45
104/11/18,34.20
104/11/19,34.65
104/11/20,35.40
104/11/23,34.90
104/11/24,34.70
104/11/25,34.70
104/11/26,34.65
104/11/27,34.50
104/11/30,35.30
104/12/01,35.65
104/12/02,36.20
104/12/03,35.85
104/12/04,36.75
104/12/07,37.00
104/12/08,36.80
104/12/09,35.95
104/12/10,36.85
104/12/11,35.40
104/12/14,36.10
104/12/15,35.90
104/12/16,37.35
104/12/17,38.25
104/12/18,38.65
104/12/21,38.10
104/12/22,37.70
104/12/23,37.50
104/12/24,36.90
104/12/25,36.80
104/12/28,36.75
104/12/29,36.90
104/12/30,36.60
104/12/31,36.45
105/01/04,35.70
105/01/05,36.50
105/01/06,33.15
105/01/07,33.90
105/01/08,33.85
105/01/11,31.75
105/01/12,32.45
105/01/13,32.50
105/01/14,32.50
105/01/15,32.50
105/01/18,32.65
105/01/19,32.35
105/01/20,32.95
105/01/21,33.00
105/01/22,32.70
105/01/25,33.75
105/01/26,33.85
105/01/27,34.00
105/01/28,34.00
105/01/29,34.30
105/01/30,34.60
105/02/01,34.40
105/02/02,35.40
105/02/03,34.65
105/02/15,35.50
105/02/16,36.20
105/02/17,36.20
105/02/18,36.10
105/02/19,36.35
105/02/22,36.55
105/02/23,36.40
105/02/24,36.10
105/02/25,36.10
105/02/26,36.00
105/03/01,36.40
105/03/02,36.50
105/03/03,36.55
105/03/04,37.00
105/03/07,36.40
105/03/08,35.45
105/03/09,36.00
105/03/10,36.30
105/03/11,35.75
105/03/14,35.65
105/03/15,35.65
105/03/16,35.50
105/03/17,35.50
105/03/18,35.55
105/03/21,35.95
105/03/22,36.10
105/03/23,36.50
105/03/24,36.50
105/03/25,36.25
