102/09/02,17.25
102/09/03,17.15
102/09/04,17.75
102/09/05,17.65
102/09/06,17.85
102/09/09,18.30
102/09/10,17.85
102/09/11,17.70
102/09/12,17.65
102/09/13,17.65
102/09/14,17.75
102/09/16,17.70
102/09/17,18.00
102/09/18,17.90
102/09/23,17.95
102/09/24,18.00
102/09/25,18.00
102/09/26,17.90
102/09/27,17.75
102/09/30,17.60
102/10/01,17.75
102/10/02,18.00
102/10/03,18.10
102/10/04,18.00
102/10/07,17.60
102/10/08,17.85
102/10/09,17.60
102/10/11,16.85
102/10/14,16.40
102/10/15,16.90
102/10/16,16.65
102/10/17,17.00
102/10/18,17.10
102/10/21,16.75
102/10/22,16.75
102/10/23,16.60
102/10/24,16.80
102/10/25,16.75
102/10/28,16.65
102/10/29,16.65
102/10/30,16.60
102/10/31,16.55
102/11/01,16.25
102/11/04,16.15
102/11/05,16.15
102/11/06,15.05
102/11/07,14.90
102/11/08,14.80
102/11/11,14.20
102/11/12,13.95
102/11/13,13.70
102/11/14,14.65
102/11/15,15.20
102/11/18,14.85
102/11/19,15.20
102/11/20,16.10
102/11/21,16.30
102/11/22,15.90
102/11/25,15.75
102/11/26,15.80
102/11/27,16.00
102/11/28,15.85
102/11/29,16.00
102/12/02,16.55
102/12/03,16.35
102/12/04,16.20
102/12/05,16.10
102/12/06,16.55
102/12/09,16.40
102/12/10,16.35
102/12/11,15.60
102/12/12,15.40
102/12/13,15.45
102/12/16,15.10
102/12/17,15.20
102/12/18,15.50
102/12/19,15.55
102/12/20,15.35
102/12/23,16.00
102/12/24,15.85
102/12/25,15.65
102/12/26,15.85
102/12/27,16.00
102/12/30,16.55
102/12/31,16.35
103/01/02,16.80
103/01/03,17.15
103/01/06,17.05
103/01/07,17.25
103/01/08,17.70
103/01/09,17.30
103/01/10,17.20
103/01/13,16.40
103/01/14,16.30
103/01/15,16.55
103/01/16,16.40
103/01/17,16.65
103/01/20,16.65
103/01/21,16.90
103/01/22,16.95
103/01/23,16.95
103/01/24,16.50
103/01/27,16.20
103/02/05,15.90
103/02/06,15.95
103/02/07,16.20
103/02/10,16.15
103/02/11,15.80
103/02/12,16.60
103/02/13,16.80
103/02/14,17.15
103/02/17,17.25
103/02/18,17.05
103/02/19,16.85
103/02/20,16.70
103/02/21,17.05
103/02/24,16.80
103/02/25,16.50
103/02/26,16.55
103/02/27,16.95
103/03/03,16.85
103/03/04,16.65
103/03/05,16.75
103/03/06,17.00
103/03/07,16.75
103/03/10,16.65
103/03/11,16.70
103/03/12,17.20
103/03/13,17.40
103/03/14,17.55
103/03/17,17.55
103/03/18,17.80
103/03/19,17.25
103/03/20,16.95
103/03/21,17.20
103/03/24,17.00
103/03/25,17.15
103/03/26,17.15
103/03/27,17.70
103/03/28,17.30
103/03/31,17.65
103/04/01,17.80
103/04/02,17.90
103/04/03,17.90
103/04/07,18.00
103/04/08,17.90
103/04/09,18.85
103/04/10,18.80
103/04/11,19.90
103/04/14,18.55
103/04/15,18.60
103/04/16,19.35
103/04/17,19.00
103/04/18,20.25
103/04/21,21.40
103/04/22,21.10
103/04/23,21.20
103/04/24,20.35
103/04/25,19.75
103/04/28,21.10
103/04/29,20.80
103/04/30,20.05
103/05/02,20.55
103/05/05,21.10
103/05/06,21.10
103/05/07,20.55
103/05/08,20.25
